scope,count,min_characters,max_characters,mean_characters,median_characters,min_tokens,max_tokens,mean_tokens,median_tokens
all,240,4,58,33.94,36.0,1,8,5.13,5.0
greeting,25,4,27,15.28,15.0,1,5,2.72,3.0
service_overview,30,22,51,36.93,36.0,4,8,5.9,6.0
borongan_info,35,32,58,45.51,46.0,5,8,6.34,6.0
harian_info,35,29,55,42.14,43.0,4,8,6.31,7.0
pricing_info,30,21,48,37.37,38.5,4,8,5.53,5.5
start_reservation,35,23,45,31.83,32.0,3,6,4.8,5.0
reservation_status,25,23,48,35.12,34.0,4,7,5.24,5.0
goodbye,25,5,38,18.96,18.0,1,6,3.12,3.0
